place,movie_title,rating,year,star_cast
29,Terminator 2: Judgment Day,8.53615054011393,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30,Back to the Future,8.517625319343287,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31,Sen to Chihiro no kamikakushi,8.515529429437777,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32,Psycho,8.507882525265577,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
33,The Pianist,8.505644310160505,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
34,Léon,8.497587411285746,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
35,Gisaengchung,8.496633431931826,2019,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"
36,The Lion King,8.488138441266157,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
37,Gladiator,8.48619639562086,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
38,American History X,8.483349880537,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39,The Departed,8.475399156460028,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
40,The Usual Suspects,8.473711906472387,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
41,The Prestige,8.46845600645551,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
42,Casablanca,8.463769326498563,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
43,Whiplash,8.46326351294798,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
44,The Intouchables,8.453717018723202,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
45,Seppuku,8.451286038715972,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
46,Hotaru no haka,8.451148558015673,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
47,Modern Times,8.448483561889303,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
48,Once Upon a Time in the West,8.4457143057722,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
49,Rear Window,8.43663788158729,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
50,Alien,8.434355721599117,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
51,City Lights,8.433949965430276,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
52,Nuovo Cinema Paradiso,8.431288525184222,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
53,Apocalypse Now,8.424355375202216,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
54,Memento,8.423379746828452,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
55,Raiders of the Lost Ark,8.409698631264348,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
56,Django Unchained,8.404887160836576,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
57,WALL·E,8.393564696596647,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
58,The Lives of Others,8.385286776723506,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
59,Sunset Blvd,8.382134829075328,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
60,Paths of Glory,8.371937814597596,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
61,The Shining,8.366438938259288,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
62,The Great Dictator,8.365606190455841,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
63,Avengers: Infinity War,8.359064394929147,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
64,Witness for the Prosecution,8.35888009417428,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
65,Aliens,8.34351464533886,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
66,American Beauty,8.334861932582697,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
67,Spider-Man: Into the Spider-Verse,8.331738509794047,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
68,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.331477127452223,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
69,The Dark Knight Rises,8.32772521001689,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
70,Top Gun: Maverick,8.322058128665986,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
71,Oldeuboi,8.3200205108095,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae"
72,Joker,8.316803147970315,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
73,Amadeus,8.315648592455261,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
74,Braveheart,8.314694554834702,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
75,Toy Story,8.314373457911461,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen"
76,Inglourious Basterds,8.313492360324245,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
77,Coco,8.31322573912337,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
78,Das Boot,8.312103889917537,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
79,Mononoke-hime,8.30324240909606,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
80,Avengers: Endgame,8.3031497665984,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
81,Once Upon a Time in America,8.297931165390313,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
82,Good Will Hunting,8.288465166626557,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
83,Kimi no na wa,8.277736570295398,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi"
84,Requiem for a Dream,8.27530682363037,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
85,Toy Story 3,8.274508935660021,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
86,Singin' in the Rain,8.273129094884053,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
87,3 Idiots,8.271378950595505,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
88,Tengoku to jigoku,8.266866938776008,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
89,Star Wars: Episode VI - Return of the Jedi,8.266216149357323,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
90,2001: A Space Odyssey,8.26350143895702,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
91,Eternal Sunshine of the Spotless Mind,8.262930760494053,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
92,Reservoir Dogs,8.262291162967978,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
93,Capharnaüm,8.260286803543675,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
94,Jagten,8.25568506079167,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
95,Lawrence of Arabia,8.254803165048164,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness"
96,Citizen Kane,8.25474180140048,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
97,M - Eine Stadt sucht einen Mörder,8.253592566665537,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
98,North by Northwest,8.250537202069102,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
99,Idi i smotri,8.249472394988967,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
10, Vertigo,8.24603583245201,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
101,Le fabuleux destin d'Amélie Poulain,8.243742214426437,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
102,A Clockwork Orange,8.242230354712241,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
103,The Apartment,8.239025884773616,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
104,Double Indemnity,8.238941862638066,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
105,Full Metal Jacket,8.238587267366395,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
106,Ikiru,8.236050113616953,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
107,Scarface,8.235258287692583,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
108,Hamilton,8.227740601378677,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
109,The Sting,8.227675059702024,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford"
110,To Kill a Mockingbird,8.227603876048507,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna"
111,Heat,8.224662710265386,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro"
112,Taxi Driver,8.224355561830718,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
113,Up,8.22434100262169,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
114,Incendies,8.222470701335341,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
115,LA Confidential,8.22185949006478,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
116,Metropolis,8.221384427970948,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
117,Jodaeiye Nader az Simin,8.221263335997998,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
118,Snatch,8.219038664973528,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
119,Die Hard,8.219002668183727,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
120,Ladri di biciclette,8.217975263195124,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
121,Indiana Jones and the Last Crusade,8.217505165964917,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
122,1917,8.21130785950704,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
123,Taare Zameen Par,8.208596758656338,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
124,Der Untergang,8.203842018923268,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
125,Per qualche dollaro in più,8.201612833524894,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
126,Batman Begins,8.200346787273963,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
127,Dangal,8.197404697411084,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
128,The Kid,8.193476451420942,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
129,Some Like It Hot,8.191622399893594,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
130,All About Eve,8.181059843980927,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
131,The Father,8.180354385363694,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
132,Green Book,8.175511109152943,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
133,The Wolf of Wall Street,8.17381044117193,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
134,Judgment at Nuremberg,8.169952916044064,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
135,Ran,8.165607879510896,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
136,Casino,8.163864433368571,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
137,Unforgiven,8.16220915329943,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
138,Pan's Labyrinth,8.162099570012808,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
139,Spider-Man: No Way Home,8.15950012061855,2021,"Jon Watts (dir.), Tom Holland, Zendaya"
140,There Will Be Blood,8.15721295688049,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
141,The Truman Show,8.154998234873158,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris"
142,The Sixth Sense,8.153638424339324,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
143,A Beautiful Mind,8.15211811788867,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris"
144,Yôjinbô,8.149846770883162,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
145,Monty Python and the Holy Grail,8.149694785388514,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
146,The Treasure of the Sierra Madre,8.147975638153646,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston"
147,Shutter Island,8.146862668541935,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
148,Jurassic Park,8.145359884447556,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
149,The Great Escape,8.141791548573291,1963,"John Sturges (dir.), Steve McQueen, James Garner"
150,Rashômon,8.141644146401447,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
151,Kill Bill: Vol 1,8.137651613496448,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
152,No Country for Old Men,8.136992711714763,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
153,Finding Nemo,8.131355149714087,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
154,The Elephant Man,8.129669950257568,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt"
155,Chinatown,8.128718641446882,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
156,The Thing,8.12772438277635,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
157,Raging Bull,8.127589469627106,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
158,Gone with the Wind,8.124527992503687,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
159,V for Vendetta,8.124466292966058,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
160,Inside Out,8.122857756031449,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader"
161,"Lock, Stock and Two Smoking Barrels",8.121880933623949,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
162,Dial M for Murder,8.12025109526929,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
163,El secreto de sus ojos,8.117438637048519,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
164,Hauru no ugoku shiro,8.115271823405553,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
165,The Bridge on the River Kwai,8.11286523492809,1957,"David Lean (dir.), William Holden, Alec Guinness"
166,"Three Billboards Outside Ebbing, Missouri",8.1112378149555,2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
167,Trainspotting,8.110616155382456,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
168,Warrior,8.103705006537629,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
169,Gran Torino,8.103667718426836,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
170,Fargo,8.102737309496803,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand"
171,Prisoners,8.09939911661447,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
172,Tonari no Totoro,8.093817794078236,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
173,Million Dollar Baby,8.089413545694525,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
174,Catch Me If You Can,8.088198143615182,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
175,The Gold Rush,8.086444690329408,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
176,Blade Runner,8.0848034908029,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
177,Bacheha-Ye aseman,8.083981343160945,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
178,On the Waterfront,8.08289383879034,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
179,The Third Man,8.080510685809237,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
180,Before Sunrise,8.078991628718361,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
181,12 Years a Slave,8.078952650755845,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
182,Ben-Hur,8.078233596905813,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
183,Smultronstället,8.07808170744791,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
184,Harry Potter and the Deathly Hallows: Part 2,8.077531169230982,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
185,The General,8.07709763253062,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
186,Gone Girl,8.076969043974307,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
187,The Deer Hunter,8.07508990625358,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
188,In the Name of the Father,8.074034675684539,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
189,The Grand Budapest Hotel,8.073924220461574,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
190,Barry Lyndon,8.072048500959701,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
191,Le salaire de la peur,8.071551115261599,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
192,Mr Smith Goes to Washington,8.069446930541583,1939,"Frank Capra (dir.), James Stewart, Jean Arthur"
193,Sherlock Jr,8.069075020726878,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
194,Hacksaw Ridge,8.068759846618017,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
195,Salinui chueok,8.06827332751479,2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung"
196,Klaus,8.067891059389487,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
197,Relatos salvajes,8.06609840611298,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
198,Det sjunde inseglet,8.065434465778145,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
199,Room,8.064315618821276,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
200,Mad Max: Fury Road,8.062726581446757,2015,"George Miller (dir.), Tom Hardy, Charlize Theron"
201,How to Train Your Dragon,8.061500787506926,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
202,Mary and Max,8.060893115066445,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
203,The Big Lebowski,8.060669272650872,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman"
204,Jaws,8.060045026194256,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
205,"Monsters, Inc",8.059428474298517,2001,"Pete Docter (dir.), Billy Crystal, John Goodman"
206,Tôkyô monogatari,8.05608687113245,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
207,Dead Poets Society,8.054676742489074,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
208,La passion de Jeanne d'Arc,8.054610041614453,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
209,Hotel Rwanda,8.051663233827258,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
210,Everything Everywhere All at Once,8.051253052469107,2022,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu"
211,Rocky,8.046997564029953,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
212,Ford v Ferrari,8.046876901374421,2019,"James Mangold (dir.), Matt Damon, Christian Bale"
213,Platoon,8.046263044928411,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
214,The Terminator,8.040865981325119,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
215,Stand by Me,8.040762046439632,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
216,Pather Panchali,8.039937787840623,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
217,Spotlight,8.039694544124899,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
218,Rush,8.03766406332255,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
219,Logan,8.037231948743802,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
220,Ratatouille,8.03642919286657,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano"
221,Network,8.036343681750283,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
222,Into the Wild,8.034747264887953,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
223,The Wizard of Oz,8.033427745995533,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
224,Groundhog Day,8.030321754801493,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
225,Before Sunset,8.02979275836881,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
226,The Exorcist,8.027048839409353,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
227,The Best Years of Our Lives,8.025603710565392,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews"
228,The Incredibles,8.025347543749369,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
229,To Be or Not to Be,8.024175674633344,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
230,La battaglia di Algeri,8.0231824554149,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
231,The Grapes of Wrath,8.022084982572508,1940,"John Ford (dir.), Henry Fonda, Jane Darwell"
232,Rebecca,8.021430483466771,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
233,Hachi: A Dog's Tale,8.021170237029077,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
234,Pirates of the Caribbean: The Curse of the Black Pearl,8.020996567691322,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
235,Cool Hand Luke,8.020788790779177,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
236,Amores perros,8.020733047407562,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
237,La haine,8.019282761102051,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
238,Babam ve Oglum,8.017927223859884,2005,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
239,Les quatre cents coups,8.015497518235783,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
240,Persona,8.01475205978871,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
241,Jai Bhim,8.014532849591912,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
242,It Happened One Night,8.013740237653522,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
243,Life of Brian,8.012451371716221,1979,"Terry Jones (dir.), Graham Chapman, John Cleese"
244,Ah-ga-ssi,8.012164611035463,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
245,The Sound of Music,8.012039513548132,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
246,Dersu Uzala,8.0085009516412,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
247,Aladdin,8.005349898892486,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams"
248,Gandhi,8.004948246075825,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
249,The Help,8.004759572221692,2011,"Tate Taylor (dir.), Viola Davis, Emma Stone"
250,The Iron Giant,8.003254381747519,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr."
